'state_territory','county_name','county_web_link','founded','named_for','seat','largest_city','total_population','density','congressional_district'
'minnesota','hennepin_county','http://www.hennepin.us/','march 6 1852[1]','louis hennepin','minneapolis','minneapolis','1281565','2313/sqmi (893/km2)','nan'
'minnesota','houston_county','http://co.houston.mn.us','nan','nan','nan','nan','nan','nan','nan'
'minnesota','hubbard_county','http://www.co.hubbard.mn.us','february 26 1883[1]','lucius frederick hubbard','park rapids','park rapids','21344','23.1/sqmi (8/km2)','8th'
'minnesota','isanti_county','http://www.co.isanti.mn.us','february 13 1857','izaty indians','cambridge','cambridge','41135','88.8/sqmi (34.3/km2)','8th'
'minnesota','itasca_county','http://www.co.itasca.mn.us','october 27 1849[1]','lake itasca','grand rapids','grand rapids','45014','16.9/sqmi (6.5/km2)','8th'
'minnesota','jackson_county','http://www.co.jackson.mn.us','may 23 1857','henry jackson','jackson','jackson','9989','14.2/sqmi (5.5/km2)','1st'
'minnesota','kanabec_county','http://www.kanabeccounty.org','march 13 1858 (created)1882 (fully organized)','snake river','mora','mora','16032','30.7/sqmi (11.9/km2)','8th'
'minnesota','kandiyohi_county','http://www.co.kandiyohi.mn.us','march 20 1858[1]','"where buffalo fish come" (dakota)','willmar','willmar','43732','54.9/sqmi (21.2/km2)','7th'
'minnesota','kittson_county','http://www.co.kittson.mn.us','march 9 1878 (created by re-naming pembina co.)february 25 1879 (organized)','norman wolfred kittson','hallock','hallock','4207','3.8/sqmi (1.5/km2)','7th'
'minnesota','koochiching_county','http://www.co.koochiching.mn.us','december 19 1906[1]','ojibway words for neighbor lake river','international falls','international falls','12062','3.9/sqmi (1.5/km2)','8th'
'minnesota','lac_qui_parle_county','http://lqpco.com/','march 6 1871[1]','"lake that speaks" french','madison','madison','6719','8.8/sqmi (3.4/km2)','7th'
'minnesota','lake_county','http://www.co.lake.mn.us','march 1 1856[1]','lake superior','two harbors','two harbors','10905','5.2/sqmi (2.0/km2)','8th'
'minnesota','lake_of_the_woods_county','nan','november 28 1922 (created by vote)january 1 1923 (organized)','lake of the woods (lake)','baudette','baudette','3763','2.9/sqmi (1.1/km2)','7th'
'minnesota','lesueur_county','http://www.co.le-sueur.mn.us','march 5 1853[1]','pierre-charles le sueur','le center','le sueur','28674','63.9/sqmi (24.7/km2)','1st'
